Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
Total,,,,31242,"1863,3369",772,497814,"4,39"
HKsubUd-j-s,"""Desisti"" de Ser Programador (e Por Que Isso Pode Salvar Sua Carreira na Era da IA)","Jun 28, 2025",965,16460,"1003,5476",370,273710,"4,54"
pbtTTcMxTQQ,Criei uma Landing Page Profissional em 5 Minutos (Antigravity + 255 Skills),"Jan 29, 2026",1240,4787,"334,5137",94,60388,"5,1"
i7UQ6CGMV9o,Criei um SaaS 100% GRÁTIS com o Novo Google AI Studio (Zero ao Deploy),"Feb 21, 2026",1046,2989,"193,6689",102,38951,"5,15"
VWVb-0M95VI,Como se Tornar Programador em 2026 (Mesmo sem Faculdade),"Oct 4, 2025",1003,1471,"104,9582",56,21404,"4,96"
Aiyy6a-dfps,Pare de Criar SaaS em 2026. Faça ISSO Primeiro (R$ 40k em 3 Meses),"Jan 22, 2026",936,677,"35,9888",15,11985,"3,96"
fOTJSradJfA,"Se você é ambicioso (em tech) e tem entre 20 e 30 anos, assista isso","Sep 27, 2025",329,656,"19,3849",7,11311,"4,12"
kcfOk9Vda0k,Meu Segredo para Criar Sites PREMIUM (Aura + Stitch + Antigravity),"Feb 26, 2026",1369,458,"21,0794",11,5547,"4,71"
Q6dECbsulQE,Saí da Nike para Empreender com IA (e Este Pode Ser Seu Último Aviso),"Sep 13, 2025",611,439,"13,8046",13,6509,"5,59"
2djNFzshPjs,"Sim, a IA vai roubar muitos empregos","Jun 13, 2025",48,349,"0,3599",1,4917,"0,51"
Wj_TzJZVc-U,"Como Faturei R$1.236,96 /Semana com Geladinho Gourmet e ChatGPT","Jul 19, 2025",534,334,"12,8621",8,4603,"5,24"
3NIohOnBs14,Você pode ser o próximo milionário se usar isso a seu favor #onepersonbusiness #agentesdeia,"Jun 14, 2025",67,309,"0,4453",0,5292,"0,6"
2STfgl2FPoE,Eu Parei de Escrever Código (E Minha Renda Dobrou),"Oct 11, 2025",692,296,"13,5142",6,6487,"3,41"
tEA-2v7Q518,O Programador Morreu em 2026. Eu Te Explico Por Quê.,"Feb 14, 2026",923,288,"14,6046",2,7574,"2,55"
Bmcbz9JsyS4,Iniciante em Programação? A IA Vai Te Destruir (A Menos que Você Faça Isso),"Jul 28, 2025",731,247,"14,5745",5,4136,"4,21"
BtheCXOO8oA,Você Não Sabe Usar IA (E é por isso que ela não te ajuda),"Jun 21, 2025",726,247,"15,6755",8,2310,"3,16"
rdtkIMCQgAI,Transforme Seu Notion em um ChatGPT Personalizado (Antigravity + RAG tutorial),"Feb 5, 2026",1962,207,"16,4794",7,5237,"2,27"
Icspvlzgvf8,Como Usar IA para Ser Contratado (O Método que Ninguém te Ensina).,"Aug 16, 2025",1263,204,"11,2188",5,5920,"1,98"
8LMqwMO4paw,O Guia Completo para Criar Seu Primeiro SaaS (Mesmo Sem Ser Programador),"Oct 18, 2025",684,194,"8,4416",7,4150,"3,4"
9I4iHzEf2ds,Você Está Perdendo Dinheiro por Não Conhecer ESSAS 10 IAs,"Nov 1, 2025",821,160,"8,6842",8,3991,"2,63"
5Pr9JVVYzkI,Por que a IA vai te substituir (e como evitar isso),"Jun 9, 2025",681,155,"6,227",5,1858,"3,77"
9oq2VK3SOfg,Por Que Quem Tem MEDO da IA Já Perdeu o Jogo,"Aug 28, 2025",829,72,"3,4469",0,1816,"2,04"
-iNW3D_4D8E,NotebookLM + Antigravity ficaram INSANOS juntos (workflow completo de graça),"Mar 12, 2026",1002,57,"3,8244",1,559,"6,08"
XcsYVCbRMZY,O Jogo da Programação em 5 Lições (Levei 7 Anos para Entender),"Nov 17, 2025",377,55,"1,8001",1,2030,"2,17"
6Q4Mph2UlmI,R$140 Milhões em Risco: A Verdade Sobre o Hack do Ruyter,"Dec 5, 2025",384,49,"1,6545",0,4391,"0,8"
qjkY2Ainqxg,Você Não Precisa de Mais IAs. Precisa Disso. (90% Erram),"Oct 28, 2025",378,43,"1,3632",0,2036,"1,82"
EaKj0brUFYo,Desisti do meu SaaS (e comecei a lucrar de verdade),"Mar 6, 2026",920,19,"1,1317",0,595,"1,68"
GwBs7bshvy0,💡Transforme o impossível em realidade com Inteligência Artificial,"Jan 14, 2025",74,13,"0,0651",0,101,"7,92"
W7Pg_Jox_g4,4 de novembro de 2025,,10,7,"0,0177",0,1,100
